Roentgen	Wilhelm	77.38540964352963
Lorentz	Hendrik	82.44022640748432
Curie	Pierre	64.83529010892383
Curie	Marie	97.43361931810264
Thomson	Joseph	92.01002241360703
Michelson	Albert	84.14847366388898
Marconi	Guglielmo	76.42851770968925
Wien	Wilhelm	84.42489830023045
Bragg	William	86.65948686684493
Planck	Max	79.1050664027179
Einstein	Albert	76.98088842551475
Bohr	Niels	72.11587700698799
Millikan	Robert	61.87460062411747
Hertz	Gustav	59.616759175208124
Compton	Arthur	57.72597722239077
Raman	Chandrasekhara	72.89791468450575
Dirac	Paul	63.47618762836926
Fermi	Enrico	76.98072434242921
Yukawa	Hideki	85.93309621324585
Bloch	Felix	95.20205766399958
Bardeen	John	73.42374465061783
Wigner	Eugene	88.47966480433449
Hall	John	80.3647780600928
Higgs	Peter	84.31285858290742
Thorne	Kip	75.14478482671836
Penrose	Roger	84.83246374305938
